student_id,name,gender,age,gpa,study_hours_per_week,programme,region,scholarship,tuition_paid
1764,Rashid Agyeman,Female,19,2.49,35,MPhil Statistics, greater accra ,Yes,15000
2299,Isaac Owusu,M,31,3.58,1,MSc Data Science,Central,no,15000
1473,Efua Ofori,F,20,2.8,10,MSc Data Science,volta,No,6750
2339,Efua Tetteh,male,20,1.98,15,MSc Data Science,Central,YES,10500
1350,Grace Agyeman,male,25,3.07,33,MBA,ashanti,YES,17250
2044,Rashid Boateng,F,34,1.56,27,MPhil Statistics,ashanti,YES,16250
1182,Akosua Mensah,Female,32,3.28,39,MBA,Central,No,3750
1404,Akosua Addo,F,20,1.34,7,MSc Data Science, Greater Accra ,YES,11000
1738,Samuel Lee,Male,25,1.93,19,MBA,Eastern,no,17000
1957,Rashid Lee,M,19,,31,MBA,Greater Accra,YES,3250
1200,Adwoa Lee,female,23,1.81,16,MSc Economics, Northern ,YES,16500
1576,Daniel Asare,female,29,,32,MSc Data Science,upper west,No,2000
2291,Yaw Asare,female,29,2.26,29,MSc Data Science,Upper West,Yes,6500
2432,Adwoa Owusu,Male,19,2.22,9,MPhil Statistics,western,YES,3000
2332,Kwame Mensah,female,32,1.43,10,MSc Data Science,central,No,16500
1477,Efua Asare,female,33,3.52,7,MSc Economics,Volta,Yes,16500
1312,Samuel Nkrumah,female,28,3.24,0,MBA,Ashanti,Yes,15500
2052,Michael Agyeman,M,33,1.68,8,MSc Economics,upper east,No,5000
1102,Isaac Lee,F,33,,32,MSc Economics,Volta,no,12250
1198,Michael Amankwah,F,24,2.44,32,MPhil Statistics,upper east,YES,7000
1659,Rashid Agyeman,female,18,3.25,15,MPhil Statistics,western,no,3000
2045,Efua Nkrumah,male,22,2.87,39,MBA,eastern,No,15750
1478,Akosua Brown,Male,17,2.83,15,MPhil Statistics,upper west,No,16750
1848,Daniel Mensah,Female,twenty-two,1.51,9,MPhil Statistics,greater accra,YES,2000
2259,Abena Nkrumah,F,20,3.59,9,MSc Data Science,upper west,No,16500
1319,Selina Lee,M,31,3.4,19,MPhil Statistics,Volta,YES,10500
2265,Abena Ofori,F,24,3.72,20,MSc Economics,western,YES,16000
1146,Fatima Doe,Female,24,3.81,13,MPhil Statistics,Volta,No,15000
1693,Rashid Agyeman,Male,26,2.71,19,MPhil Statistics,upper west,No,7750
1923,Adwoa Asare,female,18,3.5,27,MSc Economics,volta,Yes,2500
1066,Isaac Tetteh,male,21,1.24,27,MSc Economics,Eastern,no,5750
2064,Selina Asare,Female,33,2.5,24,MSc Economics, upper west ,No,12250
1910,Grace Ofori,male,24,3.04,12,MSc Economics,greater accra,Yes,15250
2500,Selina Addo,female,25,2.21,20,MPhil Statistics,upper east,Yes,?
1984,Adwoa Tetteh,M,24,1.25,39,MSc Economics,Upper East,no,5500
1927,Efua Doe,male,27,1.9,6,MSc Data Science, Ashanti ,No,7250
2499,Isaac Tetteh,Female,17,1.56,27,MPhil Statistics,Upper West,no,10250
2161,Abena Nkrumah,M,20,3.11,35,MSc Economics,greater accra,Yes,4250
1465,Yaw Owusu,Male,35,3.9,33,MSc Data Science,Western,Yes,6000
1288,Michael Tetteh,Female,31,3.43,9,MPhil Statistics,Volta,No,11500
1774,Isaac Ofori,male,28,1.38,27,MSc Data Science,Central,no,9750
1702,Emmanuel Lee,F,30,2.93,9,MSc Data Science,Upper West,no,6750
1797,Michael Lee,Female,35,2.96,14,MBA,Greater Accra,No,2750
1947,Fatima Ofori,F,32,3.09,35,MPhil Statistics,Greater Accra,No,?
2352,Selina Addo,M,34,1.34,22,MBA,upper east,YES,8000
2321,Adwoa Brown,female,21,3.2,2,MPhil Statistics,western,No,5250
2114,Emmanuel Lee,Female,26,3.74,35,MSc Economics,Western,No,13250
2302,Fatima Asare,Male,35,2.51,22,MBA,western,YES,3500
2143,Grace Brown,Male,26,1.81,13,MSc Economics,Northern,YES,8750
2090,Ama Tetteh,Male,33,3.07,33,MPhil Statistics,Greater Accra,Yes,13500
2196,Joseph Mensah,Female,34,3.36,23,MSc Economics,ashanti,YES,13000
1820,Kojo Addo,Male,28,1.44,25,MSc Economics,Upper East,no,16000
2355,Akosua Brown,female,25,2.89,0,MPhil Statistics,Central,YES,15000
2039,Samuel Doe,F,35,2.58,20,MPhil Statistics,Northern,No,17000
1613,Ama Amankwah,Female,21,2.95,26,MSc Data Science,volta,YES,2000
1162,Kojo Nkrumah,M,20,3.67,5,MBA,eastern,no,8750
1047,Fatima Boateng,M,23,3.1,2,MBA,Central,YES,16500
2418,Joseph Owusu,female,33,2.21,2,MBA,upper east,Yes,13500
1274,Kojo Asare,F,20,2.84,15,MBA,volta,no,7000
1453,Samuel Sarpong,Female,21,3.02,32,MPhil Statistics, Volta ,YES,16500
1401,Efua Nkrumah,female,31,3.84,40,MSc Data Science,greater accra,No,16000
2079,Ama Sarpong,F,25,3.7,35,MSc Data Science,volta,Yes,14250
1094,Abena Agyeman,F,22,2.78,19,MBA,greater accra,No,6750
2219,Daniel Ofori,Female,17,2.47,33,MSc Data Science,greater accra,YES,8750
1437,Emmanuel Mensah,male,23,1.88,16,MBA,northern,no,17500
2184,Daniel Amankwah,Male,29,3.9,38,MBA,central,No,2500
2092,Michael Mensah,male,34,1.7,9,MSc Data Science,upper west,No,8500
2313,Isaac Owusu,F,28,3.43,31,MSc Economics,greater accra,No,2750
1791,Joseph Brown,F,26,2.61,10,MSc Data Science,Greater Accra,no,3250
2049,Abena Doe,male,20,2.81,40,MPhil Statistics,central,no,18000
1889,Kwame Asare,male,18,3.13,4,MSc Data Science, Greater Accra ,no,4500
2466,Rashid Doe,M,19,2.01,31,MBA,Northern,Yes,9500
1466,Kofi Sarpong,F,28,3.38,4,MPhil Statistics,volta,no,11000
1174,Michael Addo,F,22,3.38,16,MSc Data Science,upper east,YES,13750
2182,Ama Brown,M,32,2.59,13,MSc Data Science,upper east,no,17250
1915,Ama Lee,Female,17,2.54,17,MBA,Northern,No,16500
2251,Ama Mensah,Male,30,,18,MBA, Northern ,No,7000
1665,Kojo Owusu,M,31,,40,MSc Data Science,upper west,No,8250
1888,Abena Addo,female,25,1.09,35,MPhil Statistics,Eastern,Yes,17250
1242,Ama Sarpong,Female,18,1.62,2,MPhil Statistics,Central,no,12750
1355,Yaw Mensah,female,26,1.9,15,MBA,central,No,17500
2498,Fatima Doe,M,27,4.8,13,MPhil Statistics,eastern,Yes,14750
1720,Daniel Mensah,Female,21,3.1,10,MBA,western,YES,14250
1982,Akosua Tetteh,Male,33,2.61,8,MPhil Statistics,Northern,YES,4500
2091,Rashid Sarpong,F,34,2.7,24,MSc Economics, eastern ,YES,8500
1945,Grace Addo,Female,28,1.25,26,MBA,upper west,no,2750
1403,Irene Amankwah,Male,23,2.59,23,MPhil Statistics,Ashanti,no,3250
2300,Kojo Boateng,male,21,3.34,21,MSc Economics,Eastern,YES,14000
2256,Fatima Mensah,Male,22,1.59,37,MSc Economics,Upper West,No,6250
2098,Kojo Brown,F,17,3.22,20,MPhil Statistics,central,YES,13500
2402,Michael Doe,F,17,2.08,34,MSc Economics,Eastern,no,11750
1227,Grace Lee,Female,30,1.22,9,MSc Data Science,western,No,6500
1471,Irene Doe,F,18,3.08,26,MSc Economics,Western,YES,2000
1115,Selina Asare,Male,32,3.07,5,MSc Data Science,Upper West,YES,14500
1585,Isaac Nkrumah,M,29,1.71,2,MSc Data Science,central,No,3000
1331,Emmanuel Sarpong,male,twenty-two,2.23,15,MSc Economics,Western,Yes,13000
1124,Akosua Agyeman,male,28,2.85,38,MSc Economics,Upper East,Yes,11000
1004,Rashid Nkrumah,female,17,2.95,11,MSc Data Science,Volta,YES,?
2308,Yaw Mensah,Male,18,1.98,33,MPhil Statistics,upper west,no,14000
2258,Irene Nkrumah,Female,24,2.08,36,MPhil Statistics,ashanti,Yes,12750
1388,Selina Brown,female,31,2.88,38,MPhil Statistics,upper west,No,4500
1018,Joseph Addo,Male,31,3.37,38,MPhil Statistics,ashanti,Yes,10750
1789,Samuel Nkrumah,Male,20,1.94,36,MSc Economics,central,No,2750
1302,Selina Doe,Male,35,1.54,35,MBA, central ,YES,13000
1287,Fatima Lee,Male,28,3.72,18,MBA,Central,No,18000
2119,Samuel Mensah,female,18,2.32,24,MBA,Ashanti,no,10500
1418,Joseph Sarpong,M,17,1.3,38,MPhil Statistics,Eastern,YES,12750
1509,Kojo Lee,Female,25,2.55,1,MBA, volta ,YES,15500
1249,Kofi Agyeman,male,23,2.22,25,MSc Data Science,northern,Yes,6750
1835,Kwame Asare,F,20,1.99,16,MPhil Statistics,Central,no,4750
2301,Emmanuel Ofori,F,26,3.2,13,MSc Economics,Upper East,no,9250
2385,Selina Nkrumah,male,17,3.74,29,MSc Economics,Ashanti,YES,11750
2195,Samuel Lee,Male,23,1.11,23,MSc Data Science,Ashanti,YES,15500
2255,Ama Amankwah,M,35,3.15,ten,MBA,Central,YES,2000
1604,Michael Asare,female,25,1.06,15,MPhil Statistics,Upper West,Yes,15000
1034,Rashid Doe,female,31,3.26,17,MSc Data Science,Northern,No,17500
1609,Abena Sarpong,Female,32,2.5,8,MSc Data Science,Upper East,Yes,8000
2423,Daniel Addo,male,twenty-two,3.67,22,MPhil Statistics,Eastern,No,9000
1182,Akosua Mensah,Female,32,3.28,39,MBA,Central,No,3750
1053,Grace Lee,female,21,3.95,18,MBA,greater accra,No,4750
2411,Efua Owusu,F,24,1.01,14,MSc Data Science,upper west,Yes,13000
2279,Michael Amankwah,Female,23,3.2,18,MSc Data Science,Upper West,Yes,8000
2201,Kwame Sarpong,Female,29,,15,MSc Economics,Central,No,12000
1269,Emmanuel Ofori,M,31,3.06,10,MSc Data Science,Volta,no,13750
1843,Efua Ofori,Male,18,2.32,8,MSc Economics,upper west,No,7250
1308,Fatima Doe,M,35,2.95,3,MPhil Statistics,Greater Accra,no,9750
2487,Adwoa Mensah,M,26,2.97,35,MBA,Volta,YES,11500
2326,Daniel Lee,M,31,3.48,18,MBA,upper east,YES,13250
1113,Selina Sarpong,male,twenty-two,2.02,37,MPhil Statistics,Northern,no,17250
1548,Emmanuel Mensah,female,34,3.15,36,MPhil Statistics,Upper West,YES,17500
1110,Michael Tetteh,Male,26,1.67,37,MSc Economics,Central,No,3500
1660,Ama Owusu,Male,21,3.05,6,MSc Economics,Western,No,15250
1979,Emmanuel Ofori,Male,25,4.8,5,MSc Data Science,central,no,12750
1189,Grace Nkrumah,F,33,2.33,19,MBA, Ashanti ,Yes,3250
1076,Fatima Asare,F,24,2.81,40,MSc Economics,eastern,No,8750
1324,Efua Tetteh,female,27,3.35,24,MSc Data Science,Central,no,?
1814,Rashid Agyeman,female,35,1.83,5,MSc Economics,upper east,YES,16250
2497,Kwame Doe,M,35,1.09,0,MBA,Central,YES,12000
1495,Rashid Sarpong,female,27,2.27,14,MBA,Greater Accra,No,3500
1705,Kofi Owusu,male,28,1.56,33,MSc Economics,Upper East,No,3000
1371,Grace Addo,F,35,2.2,21,MPhil Statistics,upper east,no,16500
1019,Isaac Sarpong,male,34,1.15,36,MSc Economics,ashanti,No,3500
1587,Fatima Amankwah,female,28,4.8,22,MBA,northern,YES,17750
1333,Adwoa Brown,M,20,1.85,3,MSc Data Science,greater accra,No,3000
1432,Grace Owusu,female,35,3.33,30,MPhil Statistics,Northern,Yes,17250
2283,Rashid Sarpong,M,24,3.62,39,MSc Data Science,Central,Yes,17250
1709,Yaw Lee,male,32,1.4,4,MSc Economics,northern,YES,5000
1551,Isaac Asare,Female,20,1.79,11,MSc Data Science,northern,No,14000
2221,Rashid Ofori,female,31,1.69,0,MBA,Ashanti,YES,13750
1449,Grace Mensah,male,21,3.11,0,MSc Data Science,volta,No,15750
2169,Joseph Addo,female,29,1.32,8,MPhil Statistics,ashanti,Yes,9750
2380,Isaac Brown,Male,21,1.25,35,MBA,greater accra,no,13250
1543,Abena Ofori,F,34,3.82,13,MPhil Statistics,Central,Yes,14500
2055,Rashid Nkrumah,Male,19,2.8,29,MSc Economics,Upper East,No,17250
1678,Efua Ofori,M,26,2.56,6,MSc Economics,Central,no,5750
1257,Irene Boateng,M,23,3.59,24,MSc Data Science,upper west,YES,12250
1213,Rashid Asare,female,30,3.6,4,MPhil Statistics,Eastern,YES,2000
1260,Isaac Addo,M,twenty-two,1.36,24,MSc Economics,Western,No,14750
1679,Yaw Amankwah,Male,34,3.29,14,MPhil Statistics,greater accra,YES,7000
1745,Irene Sarpong,M,28,2.41,29,MBA,Upper West,YES,5750
2082,Isaac Addo,F,19,1.5,12,MBA, upper west ,No,4000
2146,Irene Agyeman,female,23,2.87,ten,MSc Economics,Northern,no,17500
1236,Yaw Agyeman,M,22,3.83,5,MSc Data Science, upper east ,no,17500
1787,Kojo Brown,Male,20,1.16,30,MBA,northern,No,13250
2358,Kofi Nkrumah,Male,18,1.68,7,MPhil Statistics,Eastern,No,9250
1646,Emmanuel Asare,female,28,1.02,34,MBA,Eastern,no,9000
1815,Isaac Sarpong,M,34,1.32,27,MBA,Ashanti,YES,6750
1022,Grace Agyeman,Female,18,1.62,28,MBA,Ashanti,No,3750
1845,Rashid Boateng,M,25,3.78,26,MBA,Eastern,no,14750
2297,Samuel Amankwah,female,22,3.02,27,MBA, ashanti ,YES,13250
2227,Abena Amankwah,male,35,3.77,10,MSc Data Science,greater accra,Yes,9250
1706,Yaw Doe,male,33,1.86,33,MBA,Upper West,No,2500
2257,Akosua Sarpong,F,17,3.7,32,MSc Economics,Western,YES,18000
1071,Samuel Tetteh,Male,32,2.42,8,MSc Economics,western,No,4000
2377,Samuel Nkrumah,Male,27,2.11,12,MSc Data Science,eastern,no,14250
1803,Selina Lee,M,35,2.98,40,MBA,eastern,YES,14750
2125,Efua Ofori,M,35,3.79,7,MSc Economics,ashanti,YES,15750
1353,Selina Mensah,female,22,2.17,5,MSc Economics,central,no,15000
1021,Selina Asare,Male,24,3.76,4,MSc Data Science,upper east,Yes,10250
2276,Samuel Nkrumah,male,22,,22,MSc Data Science,Upper West,no,7000
1504,Adwoa Ofori,Female,twenty-two,2.79,33,MSc Data Science,central,no,6250
2130,Selina Mensah,male,35,3.4,33,MSc Data Science,ashanti,no,7750
1712,Grace Asare,Female,25,3.93,15,MPhil Statistics,western,no,10000
2340,Kofi Asare,M,21,3.55,33,MPhil Statistics,central,No,11000
2156,Kojo Brown,female,32,3.81,5,MSc Economics,eastern,no,12750
1536,Fatima Nkrumah,M,17,3.23,30,MBA,ashanti,YES,15000
1129,Kwame Doe,F,31,1.73,31,MBA,eastern,Yes,12250
2165,Daniel Asare,Female,25,3.28,30,MSc Economics,Eastern,YES,17000
1085,Akosua Nkrumah,female,32,3.48,40,MSc Data Science,Ashanti,YES,16500
2221,Rashid Ofori,female,31,1.69,0,MBA,Ashanti,YES,13750
1366,Ama Tetteh,male,27,,9,MSc Economics,Eastern,No,13000
1918,Rashid Mensah,Male,24,3.24,32,MBA,greater accra,No,2500
1944,Efua Nkrumah,male,26,1.65,21,MSc Data Science,Northern,YES,14750
2240,Yaw Mensah,Male,17,2.41,14,MPhil Statistics, volta ,no,10500
2037,Abena Tetteh,F,19,1.91,14,MSc Data Science,Northern,No,11250
2069,Samuel Owusu,male,21,1.74,30,MSc Economics,greater accra,no,9000
1788,Irene Tetteh,M,17,3.47,8,MBA,upper west,no,4000
1336,Samuel Ofori,female,22,1.79,39,MSc Economics,ashanti,Yes,17750
1574,Efua Sarpong,Male,20,,31,MBA,greater accra,Yes,5500
2032,Kwame Asare,M,31,1.31,5,MSc Economics,Northern,Yes,11750
1008,Emmanuel Doe,male,21,1.44,30,MPhil Statistics, ashanti ,YES,13250
1927,Efua Doe,male,27,1.9,6,MSc Data Science, Ashanti ,No,7250
1867,Kojo Lee,female,19,2.95,40,MSc Economics,Eastern,No,13750
1958,Samuel Amankwah,female,33,2.68,19,MPhil Statistics,greater accra,no,12250
1583,Grace Boateng,male,29,1.25,15,MBA,Upper West,Yes,7250
1456,Isaac Mensah,M,21,3.69,3,MBA,Upper West,No,9000
2463,Emmanuel Nkrumah,Male,22,3.73,12,MBA,Upper West,No,17000
1342,Daniel Nkrumah,Male,20,1.43,17,MPhil Statistics,ashanti,YES,4000
1103,Joseph Tetteh,Male,twenty-two,3.76,34,MPhil Statistics,Ashanti,no,5250
2420,Joseph Sarpong,M,18,3.92,19,MSc Data Science,volta,YES,8500
1978,Daniel Boateng,Male,23,,35,MPhil Statistics,Upper West,YES,12250
2068,Selina Nkrumah,M,23,1.48,25,MBA,Central,no,12000
1048,Fatima Owusu,F,26,3.15,28,MSc Data Science,Ashanti,No,9250
