person_id,name,gender,age,education_years,region,employment_status,industry,hours_worked_per_week,monthly_income,job_search_active,survey_source
3475,Yaw Boateng,M,twenty-five,13,Upper East,Employed,Public Sector,forty,6000.0,No,LFS
2432,Kojo Mensah,female,56,5,Greater Accra,Unemployed,serv,37,550.0,YES,HIES
2496,Abena Mensah,male,31,1,greater accra,Employed,Public Sector,17,3000.0,YES,hies
2223,Grace Asare,F,16,10,central,Unemployed,Trade,58,5900.0,No,HIES
2426,Yaw Asare,female,31,8,central,Employed,Services,57,,No,HS
3313,Michael Asare,male,16,12,Volta,Self-employed,Public Sector,1,6000.0,No,hies
2469,Emmanuel Amankwah,male,16,5,upper east,Unemployed,Public Sector,4,1950.0,No,lfs
2051,Selina Agyeman,male,45,18,upper west,unemp,agric,15,2428.0,No,LFS
2224,Kojo Amankwah,Male,63,2,greater accra,Unemployed,Manufacturing,35,5450.0,No,hies
2509,Kwame Mensah,Male,51,13,greater accra,Not in Labour Force,Construction,5,1800.0,No,hies
3159,Grace Amankwah,M,50,12,Central,unemp,Services,19,7950.0,No,LFS
2969,Akosua Doe,male,41,16,Upper West,Unemployed,serv,20,2900.0,Yes,hs
2810,Akosua Sarpong,M,23,11,greater accra,Not in Labour Force,Construction,45,4850.0,Yes,hs
3285,Irene Agyeman,M,32,0,Ashanti,Not in Labour Force,Services,9,3250.0,No,HIES
2334,Kwame Ofori,M,40,4,northern,unemp,Construction,18,,no,HIES
3187,Efua Doe,F,49,3,volta,Employed,Services,7,7350.0,Yes,HS
3042,Michael Ofori,Female,19,5,greater accra,Employed,Agriculture,61,,Yes,LFS
2728,Ama Agyeman,Female,33,15,western,Self-employed,Agriculture,28,500.0,no,hies
3114,Kofi Sarpong,M,21,3,central,emp,serv,44,2300.0,No,hs
3183,Michael Mensah,F,53,5,northern,emp,Services,18,2550.0,no,hs
3361,Efua Brown,Female,33,14,upper east,Not in Labour Force,serv,forty,1500.0,Yes,HS
3404,Fatima Ofori,M,25,6,Greater Accra,Not in Labour Force,agric,2,6800.0,no,LFS
2550,Michael Addo,female,twenty-five,1,Ashanti,Not in Labour Force,Agriculture,forty,3000.0,no,HS
3164,Irene Ofori,F,44,18,Ashanti,emp,Manufacturing,46,5650.0,YES,hs
3144,Adwoa Nkrumah,M,52,17,Western,emp,Trade,4,1100.0,YES,hs
2377,Kofi Owusu,male,59,11,Ashanti,Employed,Public Sector,47,7700.0,YES,hs
3138,Fatima Sarpong,M,49,0,Upper East,unemp,Public Sector,54,7000.0,Yes,LFS
2058,Abena Lee,M,24,12,central,Not in Labour Force,Trade,32,3000.0,YES,lfs
3378,Rashid Nkrumah,female,21,14,ashanti,emp,Services,1,750.0,No,LFS
2179,Kofi Amankwah,male,21,19,eastern,unemp,agric,38,,No,HS
2032,Adwoa Amankwah,female,56,3,upper east,emp,Construction,29,4650.0,YES,hies
2363,Kwame Boateng,Female,33,2,Northern,Not in Labour Force,serv,51,7150.0,Yes,lfs
2277,Rashid Lee,F,17,17,Upper East,emp,Services,48,2600.0,YES,HS
3385,Fatima Agyeman,F,46,20,eastern,unemp,agric,25,1326.0,YES,hs
2610,Abena Lee,male,16,18,greater accra,Self-employed,Agriculture,5,3800.0,No,hies
3471,Ama Ofori,female,61,3,Upper East,unemp,Construction,54,3100.0,no,lfs
2358,Isaac Agyeman,F,44,10,ashanti,Self-employed,serv,20,5100.0,YES,lfs
2304,Daniel Doe,F,23,12,Upper East,Informal,Manufacturing,29,1000.0,YES,hies
2894,Akosua Agyeman,F,53,13,Central,Self-employed,Services,0,6200.0,No,lfs
2133,Kojo Sarpong,F,44,17,volta,emp,Trade,24,3400.0,Yes,hies
2234,Kojo Lee,Female,20,11,Volta,Not in Labour Force,Trade,40,3300.0,YES,hs
3315,Emmanuel Sarpong,male,41,4,Ashanti,Informal,Services,33,3950.0,Yes,HIES
2870,Kofi Brown,F,17,13,ashanti,emp,Agriculture,47,500.0,YES,lfs
3325,Grace Tetteh,Female,41,4,Upper East,Informal,Trade,57,500.0,YES,hies
2284,Grace Mensah,Female,60,10,volta,Self-employed,Public Sector,47,2650.0,Yes,lfs
2254,Kwame Mensah,F,58,12,western,Unemployed,Manufacturing,forty,4150.0,Yes,hs
2103,Abena Tetteh,male,41,16,Northern,unemp,Public Sector,62,6900.0,YES,HS
2376,Adwoa Brown,F,30,7,upper west,unemp,Agriculture,34,686.0,YES,HIES
2406,Emmanuel Asare,Male,53,16,northern,Self-employed,agric,51,600.0,No,hs
2170,Michael Sarpong,female,33,15,Upper East,Not in Labour Force,agric,14,5600.0,YES,hs
2381,Adwoa Tetteh,F,63,1,Volta,Informal,Manufacturing,56,2600.0,Yes,hies
2090,Selina Ofori,Female,44,7,Ashanti,Employed,Services,41,2650.0,no,HIES
3202,Kwame Ofori,Male,21,5,upper east,Informal,serv,30,3800.0,no,hies
2059,Michael Asare,F,57,8,ashanti,Not in Labour Force,agric,50,3100.0,no,lfs
2909,Adwoa Owusu,female,63,19,central,Not in Labour Force,agric,28,5050.0,Yes,lfs
2343,Isaac Asare,Male,46,5,Northern,Employed,Agriculture,38,,YES,hs
2088,Yaw Boateng,Male,31,8,northern,unemp,Services,30,2100.0,YES,HS
2806,Adwoa Mensah,M,17,19,Eastern,Self-employed,Construction,66,4250.0,YES,hies
2579,Efua Agyeman,Male,20,14,northern,Unemployed,serv,54,6100.0,No,hs
2443,Abena Asare,Female,45,3,Eastern,Not in Labour Force,Trade,54,6850.0,No,hies
3481,Kwame Ofori,Female,57,12,greater accra,Not in Labour Force,Public Sector,5,4450.0,Yes,hies
2828,Adwoa Tetteh,F,53,15,ashanti,Not in Labour Force,Manufacturing,forty,5950.0,Yes,HS
2326,Adwoa Addo,female,47,5,ashanti,Unemployed,Public Sector,66,?,no,HIES
3141,Abena Nkrumah,M,22,8,upper west,Not in Labour Force,Manufacturing,33,2700.0,Yes,HIES
3006,Efua Boateng,F,20,4,Greater Accra,unemp,Agriculture,42,2700.0,no,hies
2100,Ama Addo,M,35,1,upper west,Unemployed,Manufacturing,59,2600.0,No,HS
3490,Abena Brown,F,60,6,Central,Employed,Construction,68,4700.0,YES,hies
2514,Fatima Mensah,male,32,12,Volta,Self-employed,Manufacturing,58,3850.0,No,HS
2262,Irene Lee,male,36,16,Upper West,unemp,Agriculture,69,4700.0,Yes,lfs
2528,Emmanuel Amankwah,female,56,4,Volta,Employed,agric,15,,No,HIES
3411,Samuel Boateng,female,twenty-five,15,Volta,unemp,Construction,34,3150.0,Yes,HS
2659,Akosua Doe,F,25,6,upper west,Self-employed,serv,8,1150.0,no,lfs
2995,Daniel Tetteh,female,28,18,Ashanti,Self-employed,Agriculture,44,7800.0,Yes,hies
2673,Rashid Brown,M,42,13,Volta,Unemployed,Agriculture,49,2100.0,Yes,lfs
2073,Irene Mensah,M,33,3,northern,unemp,Trade,61,2100.0,YES,hies
2189,Kojo Lee,female,56,4,upper west,Not in Labour Force,Construction,20,4550.0,YES,HS
2198,Kojo Doe,female,twenty-five,0,Eastern,Not in Labour Force,Construction,7,4950.0,Yes,hies
2488,Kwame Asare,Female,58,20,Upper West,Self-employed,agric,28,500.0,No,hs
2557,Kofi Boateng,M,65,2,Greater Accra,emp,serv,11,700.0,Yes,hs
2310,Adwoa Tetteh,male,39,14,Eastern,emp,agric,56,5650.0,Yes,hies
2290,Daniel Owusu,Female,24,5,upper west,Unemployed,Agriculture,59,5650.0,No,hs
2787,Irene Brown,Male,65,14,greater accra,emp,serv,1,3250.0,No,lfs
3102,Rashid Tetteh,F,16,19,Volta,unemp,Trade,7,5100.0,Yes,hies
2846,Rashid Tetteh,male,49,11,ashanti,emp,Trade,21,3400.0,Yes,lfs
2601,Selina Addo,female,35,12,Western,unemp,Agriculture,44,4750.0,no,hies
2720,Adwoa Nkrumah,female,48,5,Upper West,Employed,Agriculture,63,2150.0,No,LFS
2187,Fatima Mensah,female,52,18,eastern,Unemployed,agric,2,1150.0,no,lfs
2231,Daniel Nkrumah,Male,22,10,Ashanti,Unemployed,Construction,37,3800.0,Yes,LFS
3124,Akosua Agyeman,F,58,2,Eastern,Self-employed,Construction,11,1800.0,Yes,LFS
2159,Efua Asare,male,43,11,northern,unemp,Construction,17,2385.0,Yes,hies
3269,Ama Sarpong,M,46,14,ashanti,Employed,Public Sector,60,1750.0,no,LFS
2140,Yaw Tetteh,Female,48,10,central,Self-employed,serv,55,7450.0,Yes,HS
2926,Efua Sarpong,Female,35,16,Upper East,Self-employed,Construction,27,2650.0,no,HS
3058,Adwoa Ofori,Female,22,14,Ashanti,Employed,Manufacturing,3,,No,HIES
2148,Kwame Agyeman,F,34,2,Greater Accra,Employed,Trade,38,5300.0,Yes,HIES
2739,Isaac Tetteh,male,33,9,Eastern,Employed,Manufacturing,69,6750.0,Yes,HIES
3225,Rashid Amankwah,M,34,4,ashanti,Self-employed,Construction,13,5950.0,No,LFS
2575,Efua Nkrumah,female,18,10,Northern,Unemployed,Services,38,1425.0,YES,lfs
3366,Joseph Brown,M,50,5,Greater Accra,Not in Labour Force,Construction,38,5450.0,no,lfs
2811,Yaw Ofori,female,19,14,Northern,emp,agric,27,1100.0,no,hies
2035,Kwame Nkrumah,M,58,1,Western,Not in Labour Force,Public Sector,58,4550.0,no,lfs
3020,Michael Amankwah,Female,28,10,Greater Accra,Unemployed,Construction,24,1137.0,YES,lfs
2656,Efua Asare,Female,37,3,Ashanti,unemp,serv,20,350.0,no,hies
3477,Adwoa Asare,female,21,2,western,unemp,agric,65,3800.0,YES,lfs
2560,Samuel Boateng,female,15,10,Upper West,Not in Labour Force,agric,25,4750.0,No,hs
2860,Efua Asare,male,23,0,central,Informal,Agriculture,40,6800.0,YES,hies
3434,Emmanuel Doe,Male,28,14,Upper West,Self-employed,Agriculture,68,5000.0,No,HIES
3145,Kofi Owusu,Male,32,16,volta,Unemployed,agric,35,1609.0,Yes,LFS
2558,Kojo Addo,male,53,0,Western,Employed,Services,31,7450.0,YES,HS
3302,Daniel Owusu,Male,30,3,ashanti,Unemployed,serv,38,363.0,no,hies
3140,Akosua Doe,Male,39,9,ashanti,Unemployed,serv,7,1450.0,No,HIES
3105,Grace Agyeman,F,46,4,volta,Self-employed,Services,2,1250.0,No,hs
2988,Irene Mensah,male,62,6,Upper East,Unemployed,Agriculture,6,5700.0,Yes,LFS
2474,Ama Doe,Male,32,3,volta,emp,Public Sector,6,2950.0,no,lfs
3092,Selina Tetteh,male,56,17,central,Informal,Manufacturing,9,5450.0,No,LFS
2577,Ama Brown,F,56,10,Upper West,Self-employed,Agriculture,55,6050.0,No,lfs
2733,Daniel Sarpong,F,61,1,central,Self-employed,agric,12,5250.0,YES,lfs
2448,Abena Agyeman,Female,43,6,Central,emp,Manufacturing,32,7700.0,No,HS
2923,Efua Amankwah,Female,40,15,Ashanti,Informal,Trade,32,3850.0,YES,HS
2922,Joseph Brown,M,34,0,greater accra,Informal,agric,27,6200.0,No,HIES
2114,Selina Tetteh,F,20,6,Volta,Self-employed,serv,18,750.0,no,lfs
2066,Rashid Mensah,female,37,16,Western,emp,Construction,4,950.0,No,lfs
3088,Daniel Mensah,F,41,20,eastern,emp,Services,70,6700.0,No,lfs
3426,Joseph Doe,female,34,1,Greater Accra,unemp,Agriculture,33,,YES,HIES
3292,Grace Boateng,Male,62,9,central,unemp,Services,4,7400.0,No,hs
3333,Michael Brown,F,35,6,Western,Employed,Services,28,4500.0,no,hs
2163,Akosua Ofori,Male,twenty-five,20,volta,emp,agric,37,1250.0,No,hs
2773,Irene Agyeman,F,64,2,volta,Unemployed,Public Sector,forty,1450.0,Yes,hies
2014,Selina Amankwah,male,65,21,Greater Accra,Self-employed,Trade,14,3900.0,no,HS
2867,Ama Brown,Female,41,0,western,Employed,Public Sector,59,7350.0,YES,HS
3213,Grace Ofori,F,40,13,Ashanti,emp,Services,21,1900.0,No,hies
3209,Grace Lee,male,40,3,Volta,Self-employed,Agriculture,64,2400.0,YES,HIES
2517,Efua Doe,male,49,12,Ashanti,Informal,Public Sector,33,1950.0,Yes,lfs
2154,Yaw Doe,female,43,19,central,Informal,Services,28,3550.0,no,HIES
2027,Abena Tetteh,Female,60,7,Upper East,Employed,serv,55,4950.0,No,hs
3281,Selina Brown,female,25,1,northern,Informal,Trade,56,7800.0,no,hies
3126,Fatima Tetteh,M,23,12,volta,Employed,Services,26,4600.0,YES,hies
2089,Joseph Addo,Male,20,0,Volta,Employed,Manufacturing,41,2100.0,YES,hs
2261,Irene Doe,M,42,21,eastern,unemp,Services,32,1510.0,YES,lfs
2676,Irene Boateng,F,43,5,volta,Unemployed,Trade,8,7950.0,no,hs
3245,Daniel Mensah,female,16,19,Volta,Informal,Public Sector,19,6500.0,Yes,HS
2918,Efua Boateng,Male,21,3,central,emp,agric,11,4700.0,YES,hs
3004,Grace Lee,Male,15,16,Greater Accra,Employed,Public Sector,66,3300.0,YES,hs
2685,Grace Lee,M,63,13,Upper West,Not in Labour Force,Services,39,5350.0,Yes,hs
3043,Fatima Lee,F,54,2,Northern,Unemployed,Public Sector,5,850.0,YES,hs
2134,Grace Owusu,F,54,20,eastern,Self-employed,serv,53,600.0,YES,hies
2266,Fatima Tetteh,Female,35,11,Greater Accra,Unemployed,Services,5,6450.0,Yes,hies
2011,Adwoa Brown,F,21,4,upper east,Unemployed,serv,11,2700.0,Yes,lfs
2663,Michael Amankwah,male,45,7,Volta,unemp,Construction,60,5100.0,No,hies
2145,Fatima Owusu,female,19,11,Upper West,Unemployed,Construction,17,5100.0,no,lfs
2605,Kojo Lee,female,48,8,upper west,Self-employed,Agriculture,15,500.0,no,lfs
3332,Efua Amankwah,female,26,15,Western,emp,Manufacturing,54,5200.0,YES,HS
3198,Selina Agyeman,Female,35,19,upper east,Unemployed,Manufacturing,69,5500.0,Yes,lfs
2878,Yaw Lee,Male,19,7,Northern,emp,Public Sector,55,4100.0,No,HS
3019,Kofi Boateng,M,49,21,western,Employed,Trade,69,5550.0,YES,lfs
2963,Kofi Lee,male,47,18,northern,Not in Labour Force,Agriculture,6,4350.0,Yes,lfs
2294,Ama Boateng,Male,38,20,Northern,Unemployed,Trade,69,,no,lfs
2920,Daniel Ofori,F,40,1,central,emp,Trade,6,4900.0,Yes,lfs
2006,Emmanuel Boateng,female,56,19,Central,Not in Labour Force,agric,47,150.0,Yes,hs
2281,Kwame Ofori,Male,57,16,Northern,Unemployed,Construction,forty,450.0,Yes,HS
2854,Michael Doe,male,64,19,central,Not in Labour Force,Services,63,1900.0,Yes,lfs
2327,Selina Boateng,female,45,2,Western,Self-employed,Services,59,7450.0,No,hs
2543,Efua Lee,female,42,20,Eastern,Informal,Construction,40,5350.0,Yes,LFS
2781,Rashid Nkrumah,female,30,1,Volta,Employed,Agriculture,68,4300.0,no,lfs
2661,Abena Doe,female,59,19,Central,Employed,Manufacturing,41,1100.0,Yes,HIES
2872,Grace Addo,F,23,0,eastern,emp,Agriculture,forty,5300.0,Yes,HIES
2731,Fatima Tetteh,Male,54,18,Northern,Not in Labour Force,Manufacturing,57,4000.0,No,HIES
2635,Rashid Lee,M,55,10,Western,Unemployed,Services,66,5700.0,No,lfs
3341,Emmanuel Doe,Male,34,6,greater accra,emp,Public Sector,33,1450.0,Yes,lfs
2981,Kojo Tetteh,Female,58,10,Northern,unemp,serv,51,5000.0,No,hs
2946,Grace Brown,M,32,6,Northern,Employed,Public Sector,3,3850.0,no,LFS
3275,Selina Addo,Female,53,10,northern,Not in Labour Force,Agriculture,28,2100.0,No,lfs
2631,Irene Amankwah,female,20,4,upper west,Employed,Public Sector,17,3600.0,Yes,LFS
2337,Akosua Tetteh,male,37,0,Upper West,Unemployed,Services,36,5200.0,no,hs
2762,Selina Asare,F,20,10,Eastern,Self-employed,Agriculture,5,2600.0,YES,HS
2316,Yaw Ofori,F,26,11,Northern,Informal,Public Sector,59,950.0,No,HIES
2359,Fatima Agyeman,M,32,9,ashanti,Employed,serv,4,1800.0,No,hies
2414,Isaac Tetteh,Female,35,19,western,Not in Labour Force,Construction,48,2100.0,Yes,HIES
2493,Kwame Owusu,female,40,12,upper west,Unemployed,Services,22,2800.0,no,HS
2111,Daniel Sarpong,male,40,15,central,Not in Labour Force,Trade,26,250.0,Yes,hies
2727,Daniel Asare,Male,54,12,northern,Not in Labour Force,Public Sector,49,700.0,Yes,lfs
2861,Adwoa Nkrumah,female,36,13,Eastern,Employed,agric,65,8000.0,YES,hs
3070,Fatima Asare,female,50,16,Greater Accra,unemp,Construction,13,4250.0,no,HIES
2127,Michael Boateng,female,twenty-five,7,Western,unemp,Agriculture,54,1500.0,no,LFS
3137,Joseph Owusu,Female,17,2,Western,Not in Labour Force,agric,52,7750.0,No,HS
2705,Kofi Sarpong,Female,59,14,Greater Accra,emp,Services,67,4250.0,no,hs
2164,Abena Boateng,male,26,12,greater accra,emp,Manufacturing,7,3650.0,Yes,LFS
2274,Rashid Owusu,Female,56,9,northern,Informal,Manufacturing,51,,No,hs
2317,Emmanuel Boateng,Male,36,20,central,Unemployed,Services,36,4350.0,Yes,hies
2259,Samuel Nkrumah,Female,42,10,Eastern,Not in Labour Force,agric,26,?,No,HS
2536,Ama Mensah,Female,65,16,Western,emp,Agriculture,60,4350.0,no,LFS
3364,Grace Doe,F,45,21,Western,emp,Construction,51,6050.0,no,HIES
2137,Selina Owusu,Male,63,17,upper east,Employed,Public Sector,15,1600.0,YES,HS
2318,Kojo Sarpong,female,60,20,ashanti,emp,agric,45,1700.0,no,hies
2048,Rashid Brown,F,17,3,Upper East,Unemployed,Trade,36,6150.0,YES,LFS
3002,Samuel Owusu,F,26,0,upper east,Self-employed,agric,58,5600.0,no,lfs
3387,Joseph Asare,M,28,17,Central,unemp,Public Sector,66,3850.0,YES,lfs
2071,Joseph Brown,male,110,0,volta,Self-employed,serv,14,6550.0,YES,HS
3181,Selina Ofori,male,29,2,Upper East,emp,Trade,24,2600.0,YES,lfs
2657,Kwame Nkrumah,female,35,13,eastern,unemp,Services,19,1760.0,YES,hies
3192,Abena Addo,Male,42,20,eastern,Informal,Services,63,2650.0,Yes,LFS
2766,Emmanuel Sarpong,M,twenty-five,5,Ashanti,Informal,serv,28,4700.0,YES,HIES
2881,Akosua Doe,female,110,8,Northern,Unemployed,Agriculture,3,2650.0,no,hies
2287,Irene Tetteh,Female,44,9,ashanti,Unemployed,Public Sector,45,1700.0,no,HS
2760,Ama Asare,F,30,18,northern,Employed,Public Sector,29,3200.0,YES,LFS
2395,Kofi Addo,M,38,21,Upper East,Employed,Manufacturing,13,950.0,YES,LFS
2480,Abena Mensah,F,37,15,northern,unemp,Agriculture,47,700.0,Yes,hies
2076,Isaac Owusu,Female,35,16,ashanti,Employed,agric,44,4900.0,Yes,HIES
3446,Efua Addo,F,21,3,upper west,unemp,Manufacturing,10,,no,hs
2257,Yaw Lee,Female,21,13,Western,Unemployed,Services,67,1100.0,Yes,HIES
3101,Yaw Boateng,F,17,19,eastern,Informal,Agriculture,46,?,YES,lfs
3461,Emmanuel Amankwah,male,39,11,volta,Informal,Agriculture,10,7950.0,no,HS
2093,Emmanuel Agyeman,male,41,5,western,Employed,Construction,46,6700.0,Yes,hs
2451,Selina Lee,female,37,16,western,unemp,Manufacturing,4,1850.0,no,HS
3208,Ama Lee,F,51,3,Northern,emp,Agriculture,23,7250.0,No,hies
2637,Kojo Doe,M,53,2,central,Self-employed,Agriculture,35,3050.0,No,LFS
2072,Emmanuel Ofori,male,21,20,ashanti,Employed,Manufacturing,41,2850.0,No,hs
3456,Fatima Boateng,male,52,2,Upper West,Not in Labour Force,Agriculture,25,950.0,YES,HIES
3127,Joseph Sarpong,Female,63,20,Upper West,Employed,Manufacturing,30,7450.0,No,LFS
3072,Efua Lee,F,35,7,upper east,Not in Labour Force,Services,6,850.0,No,hs
3294,Samuel Boateng,F,36,7,eastern,Self-employed,Manufacturing,forty,3800.0,No,hs
3076,Kwame Addo,F,54,12,Eastern,emp,Agriculture,66,5250.0,YES,lfs
2736,Akosua Nkrumah,Male,43,14,Northern,Informal,Services,29,550.0,No,HIES
3350,Michael Lee,Female,59,14,volta,Unemployed,agric,44,1675.0,no,hs
2906,Adwoa Brown,F,45,6,northern,Not in Labour Force,Agriculture,69,,No,LFS
2957,Daniel Asare,male,63,0,Upper West,Unemployed,Construction,17,4000.0,No,hs
3409,Grace Tetteh,Female,35,6,northern,Employed,serv,6,1850.0,no,lfs
2937,Emmanuel Agyeman,F,37,2,greater accra,unemp,Public Sector,18,7750.0,no,hies
2205,Emmanuel Lee,F,64,18,western,Employed,Agriculture,23,6050.0,Yes,hs
2841,Adwoa Mensah,F,51,21,western,emp,Trade,21,6500.0,Yes,HIES
2651,Selina Nkrumah,Male,52,2,Upper West,Unemployed,Public Sector,57,?,No,HS
2497,Efua Ofori,Male,twenty-five,12,Upper West,Unemployed,Construction,21,1579.0,YES,hies
3068,Michael Doe,male,40,1,Volta,Informal,Agriculture,20,3950.0,no,lfs
2729,Ama Ofori,Male,19,12,Central,Employed,serv,30,2700.0,no,HS
2041,Efua Owusu,M,41,20,Volta,Unemployed,Trade,39,4150.0,YES,HS
2012,Kojo Addo,F,50,17,Northern,Not in Labour Force,Construction,24,?,Yes,LFS
2064,Grace Owusu,F,32,9,greater accra,Unemployed,Construction,34,5600.0,no,hs
2699,Kofi Lee,M,34,15,Ashanti,Unemployed,serv,42,700.0,Yes,HS
3479,Selina Asare,male,30,0,Eastern,Informal,Manufacturing,67,5050.0,Yes,lfs
2402,Irene Asare,female,21,3,Eastern,Self-employed,Trade,6,2900.0,no,hies
2522,Kojo Tetteh,Male,30,14,western,emp,Manufacturing,33,5500.0,Yes,LFS
2367,Irene Brown,F,44,12,greater accra,emp,Manufacturing,15,5650.0,no,lfs
2589,Grace Sarpong,Male,39,6,western,emp,serv,69,4250.0,no,LFS
2567,Kwame Owusu,M,twenty-five,4,Northern,emp,Construction,56,6950.0,No,LFS
2468,Grace Owusu,female,23,13,central,Self-employed,serv,62,2800.0,YES,HS
2386,Akosua Boateng,F,52,11,western,Employed,Public Sector,49,3050.0,Yes,HIES
2498,Kwame Tetteh,Female,20,6,Northern,Employed,Agriculture,58,1500.0,YES,lfs
2571,Abena Nkrumah,F,43,2,Ashanti,Informal,Trade,63,3100.0,Yes,lfs
2249,Irene Brown,Male,31,15,northern,Informal,Construction,20,750.0,no,LFS
2618,Joseph Ofori,female,49,12,central,unemp,Trade,20,6400.0,Yes,lfs
2974,Joseph Mensah,M,15,11,Eastern,emp,Services,62,7200.0,Yes,HS
3221,Kofi Amankwah,female,63,11,Northern,unemp,Manufacturing,46,7950.0,YES,hies
2892,Kofi Amankwah,F,39,10,Greater Accra,Informal,agric,8,6300.0,No,HS
3450,Efua Doe,Female,26,0,Eastern,unemp,Trade,33,2400.0,Yes,hies
2920,Daniel Ofori,F,40,1,central,emp,Trade,6,4900.0,Yes,lfs
2354,Kwame Boateng,F,36,6,upper east,emp,Public Sector,1,6900.0,No,HS
2068,Akosua Mensah,M,28,19,upper west,unemp,Agriculture,68,1250.0,YES,HS
3009,Adwoa Ofori,Male,50,4,greater accra,Employed,Agriculture,17,2900.0,no,hies
3049,Grace Asare,Male,45,18,upper east,Informal,Services,21,4700.0,Yes,hies
2990,Kofi Owusu,Female,57,19,Central,emp,Construction,42,5950.0,No,LFS
2430,Fatima Addo,Female,47,21,Volta,unemp,Services,65,6500.0,YES,LFS
3116,Emmanuel Asare,female,21,4,western,Employed,Construction,19,3400.0,No,HS
2443,Abena Asare,Female,45,3,Eastern,Not in Labour Force,Trade,54,6850.0,No,hies
3149,Ama Tetteh,male,35,18,Eastern,Self-employed,Trade,48,1550.0,No,hs
2210,Adwoa Addo,male,20,11,Eastern,Self-employed,serv,61,1350.0,YES,HS
3497,Isaac Lee,F,38,1,Volta,unemp,Agriculture,46,7750.0,Yes,hies
3189,Michael Nkrumah,F,41,12,central,emp,Manufacturing,16,7650.0,No,HS
2069,Michael Boateng,male,39,2,Northern,Informal,Agriculture,56,?,no,LFS
2791,Joseph Asare,F,19,1,upper west,Unemployed,Agriculture,43,612.0,no,HIES
2077,Kwame Mensah,male,33,19,Upper West,unemp,serv,37,3250.0,no,HIES
3276,Emmanuel Tetteh,F,45,7,Northern,emp,agric,42,5900.0,YES,HIES
2860,Efua Asare,male,23,0,central,Informal,Agriculture,40,6800.0,YES,hies
2795,Kojo Owusu,male,20,21,Upper West,emp,agric,65,7050.0,No,HS
3427,Samuel Agyeman,Female,54,16,upper west,Self-employed,Construction,forty,2800.0,no,hs
2759,Fatima Nkrumah,Female,33,20,Eastern,Self-employed,Construction,28,3850.0,YES,hs
2548,Adwoa Nkrumah,female,46,17,Upper East,Employed,agric,10,3850.0,Yes,LFS
2407,Efua Sarpong,M,63,4,central,Employed,Trade,47,2300.0,Yes,LFS
3326,Kofi Brown,Female,46,0,Ashanti,Unemployed,Agriculture,30,3200.0,Yes,LFS
2758,Irene Agyeman,F,23,2,Upper West,Unemployed,agric,14,850.0,no,HS
3363,Fatima Lee,M,28,12,eastern,Not in Labour Force,Public Sector,38,7950.0,Yes,hs
2619,Grace Boateng,male,52,17,Greater Accra,Employed,serv,15,5050.0,YES,HS
2875,Yaw Asare,Male,40,4,upper east,Self-employed,Public Sector,31,5750.0,no,lfs
2572,Samuel Brown,Female,37,15,Western,Not in Labour Force,Public Sector,12,7500.0,YES,lfs
